distance_km,road_class,base_speed_kph,congestion_scenario,travel_cost
1.9352465823520764,primary,50,Dry_OffPeak,2.9946021841777677
4.758500101408589,secondary,40,Dry_OffPeak,7.136851671410034
3.6867703148758855,tertiary,30,Dry_OffPeak,7.046339755855072
3.0334265725654794,primary,50,Morning_Rush,8.421464809691425
0.864491338167939,tertiary,30,Morning_Rush,3.7564465682922386
0.864373149647393,motorway,80,Evening_Rush,1.438835597829856
0.38460969962417735,tertiary,30,Clear_Night,0.7886491463073009
4.344263114297182,tertiary,30,Morning_Rush,19.342118535755077
3.0454635575417233,primary,50,Evening_Rush,8.924274730533286
3.569555631200623,secondary,40,Evening_Rush,13.928983313832008
0.200864022049432,primary,50,Evening_Rush,0.6177723332292553
4.852558275593772,tertiary,30,Evening_Rush,25.37072486390359
4.178968939922067,secondary,40,Monsoon_Rain,19.555450385042654
1.1404616423235534,secondary,40,Dry_OffPeak,1.7524980779156585
0.990942339314793,primary,50,Morning_Rush,2.974269716642746
0.9986820982818257,primary,50,Clear_Night,0.5685216401047001
1.590786990501735,motorway,80,Clear_Night,1.2616472597076562
2.6713065149979656,primary,50,Dry_OffPeak,2.9950114719532874
2.2165305913463675,secondary,40,Clear_Night,2.6884050426480783
1.5270227869704056,tertiary,30,Dry_OffPeak,3.0105061239131468
3.0980791841396598,secondary,40,Dry_OffPeak,5.0603084701751015
0.783519917195005,secondary,40,Clear_Night,0.4162332788840062
1.5315087778225691,residential,20,Monsoon_Rain,12.870283546557106
1.8951730321390896,tertiary,30,Clear_Night,2.9469037725873743
2.334742922663476,residential,20,Evening_Rush,18.398407299537165
3.947362210825767,secondary,40,Dry_OffPeak,5.981951066561651
1.0784015325759628,primary,50,Monsoon_Rain,4.375127212239031
2.619748748226697,motorway,80,Evening_Rush,5.283459128713926
3.0028313874240085,tertiary,30,Evening_Rush,15.3891838818609
0.3276070223279889,motorway,80,Evening_Rush,0.1
3.0769697743170483,primary,50,Clear_Night,2.858966089666279
0.9355682060677285,secondary,40,Monsoon_Rain,4.621240528207898
0.41875280562786965,secondary,40,Evening_Rush,1.4763168288818456
4.749539132541333,secondary,40,Evening_Rush,18.534530722382303
4.8315969620653405,primary,50,Evening_Rush,15.243126623366546
4.06114700577066,primary,50,Dry_OffPeak,4.4672594572248645
1.5926074689495167,secondary,40,Evening_Rush,6.460463487558641
0.578593358631281,residential,20,Dry_OffPeak,2.3906287918945255
3.452741829909569,tertiary,30,Morning_Rush,15.813487076826654
2.2567472193240468,residential,20,Clear_Night,4.964567557644791
0.6979873507394163,tertiary,30,Monsoon_Rain,4.161283693627708
2.526366859545224,secondary,40,Clear_Night,2.141886588010722
0.2685037534645701,primary,50,Dry_OffPeak,0.45696580974813056
4.555669970186032,secondary,40,Morning_Rush,15.897971148201242
1.368021909840083,secondary,40,Evening_Rush,6.005539965914548
3.346359193334512,secondary,40,Morning_Rush,11.467341299977416
1.6273842728381138,secondary,40,Dry_OffPeak,2.6044705445157588
2.648333303771273,secondary,40,Clear_Night,2.8334847235711673
2.7788803687820707,primary,50,Evening_Rush,8.52753590239003
1.0057868320750827,secondary,40,Monsoon_Rain,3.9159665696729933
4.8509646760463365,primary,50,Evening_Rush,15.057093940751276
3.8981508344694618,tertiary,30,Morning_Rush,17.809370177152097
4.703544813664527,primary,50,Monsoon_Rain,17.052441235627853
4.48465401709548,motorway,80,Morning_Rush,7.486589427356646
3.0297098961743174,secondary,40,Morning_Rush,10.485837282191431
4.617183751613273,secondary,40,Morning_Rush,15.795931920822724
0.5336132600544056,secondary,40,Morning_Rush,1.7083659918678935
1.0603160258538116,primary,50,Evening_Rush,3.3403309310491043
0.32161371566163655,secondary,40,Morning_Rush,1.1257764959594498
1.6941186207399954,primary,50,Dry_OffPeak,2.3374119605086503
2.004518719478462,residential,20,Dry_OffPeak,5.965298944783453
1.4296102556920902,residential,20,Clear_Night,3.2911104740118153
4.1608137948444535,secondary,40,Morning_Rush,14.282484614178472
1.8480913007985877,primary,50,Dry_OffPeak,1.9318439142219082
1.4765790974681658,tertiary,30,Clear_Night,2.2185621185223967
2.7592108074754176,motorway,80,Evening_Rush,6.192924559806357
0.790528702376337,secondary,40,Evening_Rush,2.7179904349893675
4.030765205694794,primary,50,Evening_Rush,12.464524908216037
0.46529815403087704,residential,20,Morning_Rush,3.0555617975051748
4.935745989342535,motorway,80,Evening_Rush,9.525836034320182
3.8839993695536217,secondary,40,Monsoon_Rain,17.345501439439943
1.073706839517445,tertiary,30,Evening_Rush,5.694971605979114
